section,run_id,method,n,metric,mean,std
raw_public_main,r036_campaign_mem_atlas_raw_public,Shared-Encoder TRACER,3,LeadTime@P80,9.333333333333334,7.363574011458174
raw_public_main,r036_campaign_mem_atlas_raw_public,Shared-Encoder TRACER,3,Brier,0.006411819754301212,0.0010187493482536744
raw_public_main,r036_campaign_mem_atlas_raw_public,Shared-Encoder TRACER,3,Analog-Fidelity@5,97.7872340425532,0.17087636600222375
raw_public_main,r036_campaign_mem_atlas_raw_public,Shared-Encoder TRACER,3,TTE-Err@1,1814.861063639323,1831.7036243433672
raw_public_main,r036_campaign_mem_atlas_raw_public,Shared-Encoder TRACER,3,AUROC,,
raw_public_main,r036_campaign_mem_atlas_raw_public,Shared-Encoder TRACER,3,LogLoss,,
raw_public_main,r036_campaign_mem_atlas_raw_public,Shared-Encoder TRACER,3,ECE@10,,
raw_public_main,r036_campaign_mem_atlas_raw_public,Shared-Encoder TRACER,3,BestF1,,
raw_public_main,r036_campaign_mem_atlas_raw_public,Shared-Encoder TRACER,3,Precision@P80,0.6111111111111112,0.43744488188954506
raw_public_main,r036_campaign_mem_atlas_raw_public,Shared-Encoder TRACER,3,Recall@P80,0.16666666666666669,0.1800205749557739
raw_public_main,r047_campaign_mem_v3_dlinear_atlas_raw_public,DLinear-Calibrated TRACER,3,AUPRC,0.3619358936711379,0.08012537400527465
raw_public_main,r047_campaign_mem_v3_dlinear_atlas_raw_public,DLinear-Calibrated TRACER,3,LeadTime@P80,9.333333333333334,7.363574011458174
raw_public_main,r047_campaign_mem_v3_dlinear_atlas_raw_public,DLinear-Calibrated TRACER,3,Brier,0.006991118388807681,0.001435946955693995
raw_public_main,r047_campaign_mem_v3_dlinear_atlas_raw_public,DLinear-Calibrated TRACER,3,Analog-Fidelity@5,97.76595744680851,0.04836234644320844
raw_public_main,r047_campaign_mem_v3_dlinear_atlas_raw_public,DLinear-Calibrated TRACER,3,TTE-Err@1,426.52777099609375,1.678202794068187
raw_public_main,r047_campaign_mem_v3_dlinear_atlas_raw_public,DLinear-Calibrated TRACER,3,AUROC,,
raw_public_main,r047_campaign_mem_v3_dlinear_atlas_raw_public,DLinear-Calibrated TRACER,3,LogLoss,,
raw_public_main,r047_campaign_mem_v3_dlinear_atlas_raw_public,DLinear-Calibrated TRACER,3,ECE@10,,
raw_public_main,r047_campaign_mem_v3_dlinear_atlas_raw_public,DLinear-Calibrated TRACER,3,BestF1,,
raw_public_main,r047_campaign_mem_v3_dlinear_atlas_raw_public,DLinear-Calibrated TRACER,3,Precision@P80,0.6111111111111112,0.43744488188954506
raw_public_main,r047_campaign_mem_v3_dlinear_atlas_raw_public,DLinear-Calibrated TRACER,3,Recall@P80,0.16666666666666669,0.1800205749557739
raw_public_main,r243_tracer_adaptive_atlas_raw_public,TRACER,3,AUPRC,0.4612469659832803,0.0781842511782788
raw_public_main,r243_tracer_adaptive_atlas_raw_public,TRACER,3,LeadTime@P80,9.583333333333334,8.799463367476198
raw_public_main,r243_tracer_adaptive_atlas_raw_public,TRACER,3,Brier,0.005951337205866973,0.0003969870659788906
raw_public_main,r243_tracer_adaptive_atlas_raw_public,TRACER,3,Analog-Fidelity@5,78.08156028368793,27.348987722035513
raw_public_main,r243_tracer_adaptive_atlas_raw_public,TRACER,3,TTE-Err@1,24.44444465637207,0.9820930513589055
raw_public_main,r243_tracer_adaptive_atlas_raw_public,TRACER,3,AUROC,0.966928384487271,0.039454369922894805
raw_public_main,r243_tracer_adaptive_atlas_raw_public,TRACER,3,LogLoss,0.045770139013425526,0.007593964961704158
raw_public_main,r243_tracer_adaptive_atlas_raw_public,TRACER,3,ECE@10,0.005807734409433501,0.0005259873018610225
raw_public_main,r243_tracer_adaptive_atlas_raw_public,TRACER,3,BestF1,0.4956095913542722,0.014401848740439281
raw_public_main,r243_tracer_adaptive_atlas_raw_public,TRACER,3,Precision@P80,0.6,0.43204937989385733
raw_public_main,r243_tracer_adaptive_atlas_raw_public,TRACER,3,Recall@P80,0.16666666666666666,0.13608276348795434
raw_public_main,r089_campaign_mem_selector_conservative_atlas_raw_public,Selector-Conservative TRACER,3,AUPRC,0.27481867250621494,0.10932268584924903
raw_public_main,r089_campaign_mem_selector_conservative_atlas_raw_public,Selector-Conservative TRACER,3,LeadTime@P80,1.6666666666666667,2.3570226039551585
raw_public_main,r089_campaign_mem_selector_conservative_atlas_raw_public,Selector-Conservative TRACER,3,Brier,0.12145524968703587,0.16304201940679594
raw_public_main,r089_campaign_mem_selector_conservative_atlas_raw_public,Selector-Conservative TRACER,3,Analog-Fidelity@5,58.9645390070922,27.557138923308955
raw_public_main,r089_campaign_mem_selector_conservative_atlas_raw_public,Selector-Conservative TRACER,3,TTE-Err@1,839.1666940053304,1154.3579244976447
raw_public_main,r089_campaign_mem_selector_conservative_atlas_raw_public,Selector-Conservative TRACER,3,AUROC,,
raw_public_main,r089_campaign_mem_selector_conservative_atlas_raw_public,Selector-Conservative TRACER,3,LogLoss,,
raw_public_main,r089_campaign_mem_selector_conservative_atlas_raw_public,Selector-Conservative TRACER,3,ECE@10,,
raw_public_main,r089_campaign_mem_selector_conservative_atlas_raw_public,Selector-Conservative TRACER,3,BestF1,,
raw_public_main,r089_campaign_mem_selector_conservative_atlas_raw_public,Selector-Conservative TRACER,3,Precision@P80,0.3333333333333333,0.4714045207910317
